title,link
Human face of 'Khaki' engraved in public memory due to good work done by police during this COVID-19 pandemic: PM,https://www.narendramodi.in/text-of-pm-s-address-at-dikshant-parade-of-ips-probationers-through-video-conference
'Aatmanirbhar Bharat’ merges the local with the global: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-special-key-note-address-at-us-ispf-us-india-summit-2020
Let the games begin: PM Modi's self-reliance push for toys sector during Mann Ki Baat,https://www.narendramodi.in/prime-minister-narendra-modi-s-mann-ki-baat-with-the-nation-august-2020
"Mantra of 'Jai Jawan, Jai Kisan and Jai Vigyan' will echo in all four directions in Bundelkhand: PM Modi",https://www.narendramodi.in/text-of-prime-miniser-narendra-modi-s-address-at-inauguration-of-the-college-and-administration-buildings-of-rani-lakshmi-bai-central-agricultural-university-in-jhansi-via-video-conferencing
We aim to increase defence manufacturing in India: PM Modi,https://www.narendramodi.in/pm-s-addresses-at-seminar-on-atmanirbhar-bharat-in-defence-manufacturing
Aatmanirbhar Bharat has become a 'mantra' for the 130 crore Indians today: PM Modi during 74th Independence Day,https://www.narendramodi.in/text-of-prime-minister-shri-narendra-modi-s-address-to-the-nation-from-the-ramparts-of-the-red-fort-on-the-74th-independence-day-august-15-2020
"We are focussing on making tax-paying seamless, painless, faceless: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-launch-of-transparent-taxation-honoring-the-honest
Teamwork displayed by Team India has been remarkable: PM Modi at COVID-19 review meeting with State Chief Ministers,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-interaction-with-cms-to-discuss-the-current-situation-and-plan-ahead-for-tackling-the-pandemic
Submarine OFC project connecting Andaman-Nicobar to rest of the world is a symbol of our commitment towards ease of living: PM,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-inauguration-of-submarine-cable-connectivity-to-andaman-nicobar-islands
Reach of Central Government schemes in Andaman and Nicobar Islands has been very influential: PM Modi,https://www.narendramodi.in/prime-minister-narendra-modi-s-text-of-speech-after-interaction-with-bjp-karyakartas-of-andaman-and-nicobar-islands
